,FIPS,civil_unemploy_1990,civil_unemploy_2000,civil_unemploy_2010,median_HH_inc_1990,median_HH_inc_2000,median_HH_inc_2010,femaleHH_ns_pct_1990,femaleHH_ns_pct_2000,femaleHH_ns_pct_2010,vacant_HHunit_1990,vacant_HHunit_2000,vacant_HHunit_2010,owner_occ_pct_1990,owner_occ_pct_2000,owner_occ_pct_2010,eduattain_HS_1990,eduattain_HS_2000,eduattain_HS_2010,pctfam_pover_1990,pctfam_pover_2000,pctfam_pover_2010,healthfac_1999,healthfac_2005,healthfac_2005_1999,population_2000
1,1001,6.6,3.1,6.2,28337,42013,53255,15.12472371,13.1,13.7,7.115928369,9.4,8.6,79.7,80.8,75.4,70,33.8,35.2,12.02465524,8.2,7.5,1.099127567,1.465503423,0.366375856,43671
2,1003,5.3,2.6,6.6,25712,40250,50147,13.20446308,10.2,11.1,27.26915752,25.5,29.7,78.4,79.5,72.5,73.2,29.6,29.9,10.43878273,7.6,9.1,1.780436563,2.428515472,0.648078909,140415
3,1005,7.9,2.7,9.6,19389,25101,33219,22.70076267,19.1,19.8,13.89070528,16.5,17,70.4,73.1,66.8,55.6,32.4,35.4,20.02079311,21.6,19.9,1.411942971,1.515255872,0.1033129,29038
4,1009,6.4,2.9,7.5,22382,35241,45549,9.953663978,7.9,9.7,7.257758075,8.9,9.7,81.8,83.4,80.6,60.5,36,36.4,11.37939892,8.6,10,0.646754468,0.76434619,0.117591722,51024
5,1011,12.6,3.6,11.2,14745,20605,31602,36.09882006,28.2,26.8,15.05159264,15.7,16.6,72.1,74.5,68.8,49,35.2,36.6,31.39792899,29.8,22.6,1.280519037,1.365886973,0.085367936,11714
6,1013,13,5.8,9.5,16054,24791,30659,22.12875536,18.2,19.8,9.262435678,15.7,14.8,72.9,76.2,70.3,52.8,34.5,38.7,24.58960328,20.4,19.7,1.822515071,1.962708538,0.140193467,21399
7,1015,7.2,3.8,11.7,23802,31768,38407,16.85478277,13.4,15.2,8.063653669,11.7,11.2,70.3,72.5,68.8,67.4,32.2,34.5,11.68802544,12.4,15.2,2.307370222,2.27173516,-0.035635061,112249
8,1017,7.3,3.8,14.2,21256,29667,31467,21.2251688,17.4,19.1,7.538564722,10.7,18.1,76,75.7,70.6,54.3,32.1,34.3,13.40900346,14.3,16.4,1.530765656,1.776781565,0.246015909,36583
9,1021,9,2.6,9.1,21627,32588,39486,13.0239521,10.5,12,12.74220269,13.4,14.1,81.2,82.3,76.6,56.6,35.8,40.5,13.07503469,12.6,14.4,0.985022605,0,-0.985022605,39593
10,1023,12.7,4.3,13.1,17115,24749,31076,19.26733132,16,15.8,15.34835764,18.8,19.3,84.8,86.3,83,54.3,34.7,39.3,23.80410023,20.7,14.2,1.130511242,1.632960683,0.502449441,15922
